,Time_Obs,Obs
889,1954-Feb,
890,1954-Mar,
891,1954-Apr,
892,1954-May,
893,1954-Jun,
894,1954-Jul,
895,1954-Aug,
896,1954-Sep,
897,1954-Oct,
898,1954-Nov,
899,1954-Dec,
900,1955-Jan,
901,1955-Feb,
902,1955-Mar,
903,1955-Apr,
904,1955-May,
905,1955-Jun,
906,1955-Jul,
907,1955-Aug,
908,1955-Sep,
909,1955-Oct,
910,1955-Nov,
911,1955-Dec,
912,1956-Jan,
913,1956-Feb,
914,1956-Mar,
915,1956-Apr,
916,1956-May,
917,1956-Jun,
918,1956-Jul,
919,1956-Aug,
920,1956-Sep,
921,1956-Oct,
922,1956-Nov,
923,1956-Dec,
924,1957-Jan,
925,1957-Feb,
926,1957-Mar,
927,1957-Apr,
928,1957-May,
929,1957-Jun,
930,1957-Jul,
931,1957-Aug,
932,1957-Sep,
933,1957-Oct,1.2749235352561392
934,1957-Nov,
935,1957-Dec,
936,1958-Jan,
937,1958-Feb,
938,1958-Mar,
939,1958-Apr,
940,1958-May,
941,1958-Jun,
942,1958-Jul,
943,1958-Aug,
944,1958-Sep,
945,1958-Oct,
946,1958-Nov,
947,1958-Dec,
948,1959-Jan,
949,1959-Feb,
950,1959-Mar,
951,1959-Apr,
952,1959-May,
953,1959-Jun,
954,1959-Jul,
955,1959-Aug,
956,1959-Sep,
957,1959-Oct,
958,1959-Nov,
959,1959-Dec,
960,1960-Jan,
961,1960-Feb,
962,1960-Mar,
963,1960-Apr,
964,1960-May,
965,1960-Jun,
966,1960-Jul,
967,1960-Aug,
968,1960-Sep,
969,1960-Oct,
970,1960-Nov,
971,1960-Dec,
972,1961-Jan,
973,1961-Feb,
974,1961-Mar,
975,1961-Apr,
976,1961-May,
977,1961-Jun,
978,1961-Jul,
979,1961-Aug,
980,1961-Sep,
981,1961-Oct,
982,1961-Nov,
983,1961-Dec,
984,1962-Jan,
985,1962-Feb,
986,1962-Mar,
987,1962-Apr,
988,1962-May,
989,1962-Jun,
990,1962-Jul,
991,1962-Aug,
992,1962-Sep,
993,1962-Oct,
994,1962-Nov,
995,1962-Dec,
996,1963-Jan,
997,1963-Feb,
998,1963-Mar,
999,1963-Apr,
1000,1963-May,
1001,1963-Jun,
1002,1963-Jul,
1003,1963-Aug,
1004,1963-Sep,
1005,1963-Oct,
1006,1963-Nov,
1007,1963-Dec,
1008,1964-Jan,
1009,1964-Feb,
1010,1964-Mar,
1011,1964-Apr,
1012,1964-May,
1013,1964-Jun,
1014,1964-Jul,
1015,1964-Aug,
1016,1964-Sep,
1017,1964-Oct,
1018,1964-Nov,
1019,1964-Dec,
1020,1965-Jan,
1021,1965-Feb,
1022,1965-Mar,
1023,1965-Apr,
1024,1965-May,
1025,1965-Jun,
1026,1965-Jul,
1027,1965-Aug,
1028,1965-Sep,
1029,1965-Oct,
1030,1965-Nov,
1031,1965-Dec,
1032,1966-Jan,
1033,1966-Feb,
1034,1966-Mar,
1035,1966-Apr,
1036,1966-May,
1037,1966-Jun,
1038,1966-Jul,
1039,1966-Aug,
1040,1966-Sep,
1041,1966-Oct,
1042,1966-Nov,
1043,1966-Dec,
1044,1967-Jan,
1045,1967-Feb,
1046,1967-Mar,
1047,1967-Apr,
1048,1967-May,
1049,1967-Jun,
1050,1967-Jul,
1051,1967-Aug,
1052,1967-Sep,
1053,1967-Oct,
1054,1967-Nov,
1055,1967-Dec,
1056,1968-Jan,
1057,1968-Feb,
1058,1968-Mar,
1059,1968-Apr,
1060,1968-May,
1061,1968-Jun,
1062,1968-Jul,
1063,1968-Aug,
1064,1968-Sep,
1065,1968-Oct,
1066,1968-Nov,
1067,1968-Dec,
1068,1969-Jan,
1069,1969-Feb,
1070,1969-Mar,
1071,1969-Apr,
1072,1969-May,
1073,1969-Jun,
1074,1969-Jul,
1075,1969-Aug,
1076,1969-Sep,
1077,1969-Oct,
1078,1969-Nov,
1079,1969-Dec,
1080,1970-Jan,
1081,1970-Feb,
1082,1970-Mar,
1083,1970-Apr,
1084,1970-May,
1085,1970-Jun,
1086,1970-Jul,
1087,1970-Aug,
1088,1970-Sep,
1089,1970-Oct,
1090,1970-Nov,
1091,1970-Dec,
1092,1971-Jan,
1093,1971-Feb,
1094,1971-Mar,
1095,1971-Apr,
1096,1971-May,
1097,1971-Jun,
1098,1971-Jul,
1099,1971-Aug,
1100,1971-Sep,
1101,1971-Oct,
1102,1971-Nov,
1103,1971-Dec,
1104,1972-Jan,
1105,1972-Feb,
1106,1972-Mar,
1107,1972-Apr,
1108,1972-May,
1109,1972-Jun,
1110,1972-Jul,
1111,1972-Aug,
1112,1972-Sep,
1113,1972-Oct,
1114,1972-Nov,
1115,1972-Dec,
1116,1973-Jan,
1117,1973-Feb,
1118,1973-Mar,
1119,1973-Apr,
1120,1973-May,
1121,1973-Jun,
1122,1973-Jul,
1123,1973-Aug,
1124,1973-Sep,
1125,1973-Oct,
1126,1973-Nov,
1127,1973-Dec,
1128,1974-Jan,
1129,1974-Feb,
1130,1974-Mar,
1131,1974-Apr,
1132,1974-May,
1133,1974-Jun,
1134,1974-Jul,
1135,1974-Aug,
1136,1974-Sep,
1137,1974-Oct,
1138,1974-Nov,
1139,1974-Dec,
1140,1975-Jan,
1141,1975-Feb,
1142,1975-Mar,
1143,1975-Apr,
1144,1975-May,
1145,1975-Jun,
1146,1975-Jul,
1147,1975-Aug,
1148,1975-Sep,
1149,1975-Oct,
1150,1975-Nov,
1151,1975-Dec,
1152,1976-Jan,
1153,1976-Feb,
1154,1976-Mar,
1155,1976-Apr,
1156,1976-May,
1157,1976-Jun,
1158,1976-Jul,
1159,1976-Aug,
1160,1976-Sep,
1161,1976-Oct,
1162,1976-Nov,
1163,1976-Dec,
1164,1977-Jan,
1165,1977-Feb,
1166,1977-Mar,
1167,1977-Apr,
1168,1977-May,
1169,1977-Jun,
1170,1977-Jul,
1171,1977-Aug,
1172,1977-Sep,
1173,1977-Oct,
1174,1977-Nov,
1175,1977-Dec,
1176,1978-Jan,
1177,1978-Feb,
1178,1978-Mar,
1179,1978-Apr,
1180,1978-May,
1181,1978-Jun,
1182,1978-Jul,
1183,1978-Aug,
1184,1978-Sep,
1185,1978-Oct,
1186,1978-Nov,
1187,1978-Dec,
1188,1979-Jan,
1189,1979-Feb,
1190,1979-Mar,
1191,1979-Apr,
1192,1979-May,
1193,1979-Jun,
1194,1979-Jul,
1195,1979-Aug,
1196,1979-Sep,
1197,1979-Oct,
1198,1979-Nov,
1199,1979-Dec,
1200,1980-Jan,
1201,1980-Feb,
1202,1980-Mar,
1203,1980-Apr,
1204,1980-May,
1205,1980-Jun,
1206,1980-Jul,
1207,1980-Aug,
1208,1980-Sep,
1209,1980-Oct,
1210,1980-Nov,
1211,1980-Dec,
1212,1981-Jan,
1213,1981-Feb,
1214,1981-Mar,
1215,1981-Apr,
1216,1981-May,
1217,1981-Jun,
1218,1981-Jul,
1219,1981-Aug,-1.2380204670089228
1220,1981-Sep,-0.2801868156863776
1221,1981-Oct,
1222,1981-Nov,
1223,1981-Dec,
1224,1982-Jan,
1225,1982-Feb,
1226,1982-Mar,
1227,1982-Apr,
1228,1982-May,
1229,1982-Jun,
1230,1982-Jul,
1231,1982-Aug,
1232,1982-Sep,
1233,1982-Oct,
1234,1982-Nov,
1235,1982-Dec,
1236,1983-Jan,
1237,1983-Feb,
1238,1983-Mar,
1239,1983-Apr,
1240,1983-May,
1241,1983-Jun,
1242,1983-Jul,
1243,1983-Aug,
1244,1983-Sep,
1245,1983-Oct,
1246,1983-Nov,
1247,1983-Dec,
1248,1984-Jan,
1249,1984-Feb,
1250,1984-Mar,
1251,1984-Apr,
1252,1984-May,
1253,1984-Jun,
1254,1984-Jul,
1255,1984-Aug,
1256,1984-Sep,
1257,1984-Oct,
1258,1984-Nov,
1259,1984-Dec,
1260,1985-Jan,
1261,1985-Feb,
1262,1985-Mar,
1263,1985-Apr,
1264,1985-May,
1265,1985-Jun,
1266,1985-Jul,
1267,1985-Aug,
1268,1985-Sep,
1269,1985-Oct,
1270,1985-Nov,
1271,1985-Dec,
1272,1986-Jan,
1273,1986-Feb,
1274,1986-Mar,
1275,1986-Apr,
1276,1986-May,
1277,1986-Jun,
1278,1986-Jul,
1279,1986-Aug,
1280,1986-Sep,
1281,1986-Oct,
1282,1986-Nov,
1283,1986-Dec,
1284,1987-Jan,
1285,1987-Feb,
1286,1987-Mar,
1287,1987-Apr,
1288,1987-May,
1289,1987-Jun,
1290,1987-Jul,
1291,1987-Aug,
1292,1987-Sep,
1293,1987-Oct,
1294,1987-Nov,
1295,1987-Dec,
1296,1988-Jan,
1297,1988-Feb,
1298,1988-Mar,
1299,1988-Apr,
1300,1988-May,
1301,1988-Jun,
1302,1988-Jul,
1303,1988-Aug,
1304,1988-Sep,
1305,1988-Oct,
1306,1988-Nov,
1307,1988-Dec,
1308,1989-Jan,
1309,1989-Feb,
1310,1989-Mar,
1311,1989-Apr,
1312,1989-May,
1313,1989-Jun,
1314,1989-Jul,
1315,1989-Aug,
1316,1989-Sep,
1317,1989-Oct,
1318,1989-Nov,
1319,1989-Dec,
1320,1990-Jan,
1321,1990-Feb,
1322,1990-Mar,
1323,1990-Apr,
1324,1990-May,
1325,1990-Jun,
1326,1990-Jul,
1327,1990-Aug,
1328,1990-Sep,
1329,1990-Oct,
1330,1990-Nov,
1331,1990-Dec,
1332,1991-Jan,
1333,1991-Feb,
1334,1991-Mar,
1335,1991-Apr,
1336,1991-May,
1337,1991-Jun,
1338,1991-Jul,
1339,1991-Aug,
1340,1991-Sep,
1341,1991-Oct,
1342,1991-Nov,
1343,1991-Dec,
1344,1992-Jan,
1345,1992-Feb,
1346,1992-Mar,
1347,1992-Apr,
1348,1992-May,
1349,1992-Jun,
1350,1992-Jul,-0.1682672166493333
1351,1992-Aug,-0.0380204670089234
1352,1992-Sep,
1353,1992-Oct,
1354,1992-Nov,
1355,1992-Dec,
1356,1993-Jan,
1357,1993-Feb,
1358,1993-Mar,
1359,1993-Apr,
1360,1993-May,
1361,1993-Jun,
1362,1993-Jul,
1363,1993-Aug,
1364,1993-Sep,
1365,1993-Oct,
1366,1993-Nov,
1367,1993-Dec,
1368,1994-Jan,
1369,1994-Feb,
1370,1994-Mar,
1371,1994-Apr,
1372,1994-May,
1373,1994-Jun,
1374,1994-Jul,
1375,1994-Aug,
