,datetime,Obs
928,1957-05,
929,1957-06,
930,1957-07,
931,1957-08,
932,1957-09,
933,1957-10,1.2749235352561392
934,1957-11,
935,1957-12,
936,1958-01,
937,1958-02,
938,1958-03,
939,1958-04,
940,1958-05,
941,1958-06,
942,1958-07,
943,1958-08,
944,1958-09,
945,1958-10,
946,1958-11,
947,1958-12,
948,1959-01,
949,1959-02,
950,1959-03,
951,1959-04,
952,1959-05,
953,1959-06,
954,1959-07,
955,1959-08,
956,1959-09,
957,1959-10,
958,1959-11,
959,1959-12,
960,1960-01,
961,1960-02,
962,1960-03,
963,1960-04,
964,1960-05,
965,1960-06,
966,1960-07,
967,1960-08,
968,1960-09,
969,1960-10,
970,1960-11,
971,1960-12,
972,1961-01,
973,1961-02,
974,1961-03,
975,1961-04,
976,1961-05,
977,1961-06,
978,1961-07,
979,1961-08,
980,1961-09,
981,1961-10,
982,1961-11,
983,1961-12,
984,1962-01,
985,1962-02,
986,1962-03,
987,1962-04,
988,1962-05,
989,1962-06,
990,1962-07,
991,1962-08,
992,1962-09,
993,1962-10,
994,1962-11,
995,1962-12,
996,1963-01,
997,1963-02,
998,1963-03,
999,1963-04,
1000,1963-05,
1001,1963-06,
1002,1963-07,
1003,1963-08,
1004,1963-09,
1005,1963-10,
1006,1963-11,
1007,1963-12,
1008,1964-01,
1009,1964-02,
1010,1964-03,
1011,1964-04,
1012,1964-05,
1013,1964-06,
1014,1964-07,
1015,1964-08,
1016,1964-09,
1017,1964-10,
1018,1964-11,
1019,1964-12,
1020,1965-01,
1021,1965-02,
1022,1965-03,
1023,1965-04,
1024,1965-05,
1025,1965-06,
1026,1965-07,
1027,1965-08,
1028,1965-09,
1029,1965-10,
1030,1965-11,
1031,1965-12,
1032,1966-01,
1033,1966-02,
1034,1966-03,
1035,1966-04,
1036,1966-05,
1037,1966-06,
1038,1966-07,
1039,1966-08,
1040,1966-09,
1041,1966-10,
1042,1966-11,
1043,1966-12,
1044,1967-01,
1045,1967-02,
1046,1967-03,
1047,1967-04,
1048,1967-05,
1049,1967-06,
1050,1967-07,
1051,1967-08,
1052,1967-09,
1053,1967-10,
1054,1967-11,
1055,1967-12,
1056,1968-01,
1057,1968-02,
1058,1968-03,
1059,1968-04,
1060,1968-05,
1061,1968-06,
1062,1968-07,
1063,1968-08,
1064,1968-09,
1065,1968-10,
1066,1968-11,
1067,1968-12,
1068,1969-01,
1069,1969-02,
1070,1969-03,
1071,1969-04,
1072,1969-05,
1073,1969-06,
1074,1969-07,
1075,1969-08,
1076,1969-09,
1077,1969-10,
1078,1969-11,
1079,1969-12,
1080,1970-01,
1081,1970-02,
1082,1970-03,
1083,1970-04,
1084,1970-05,
1085,1970-06,
1086,1970-07,
1087,1970-08,
1088,1970-09,
1089,1970-10,
1090,1970-11,
1091,1970-12,
1092,1971-01,
1093,1971-02,
1094,1971-03,
1095,1971-04,
1096,1971-05,
1097,1971-06,
1098,1971-07,
1099,1971-08,
1100,1971-09,
1101,1971-10,
1102,1971-11,
1103,1971-12,
1104,1972-01,
1105,1972-02,
1106,1972-03,
1107,1972-04,
1108,1972-05,
1109,1972-06,
1110,1972-07,
1111,1972-08,
1112,1972-09,
1113,1972-10,
1114,1972-11,
1115,1972-12,
1116,1973-01,
1117,1973-02,
1118,1973-03,
1119,1973-04,
1120,1973-05,
1121,1973-06,
1122,1973-07,
1123,1973-08,
1124,1973-09,
1125,1973-10,
1126,1973-11,
1127,1973-12,
1128,1974-01,
1129,1974-02,
1130,1974-03,
1131,1974-04,
1132,1974-05,
1133,1974-06,
1134,1974-07,
1135,1974-08,
1136,1974-09,
1137,1974-10,
1138,1974-11,
1139,1974-12,
1140,1975-01,
1141,1975-02,
1142,1975-03,
1143,1975-04,
1144,1975-05,
1145,1975-06,
1146,1975-07,
1147,1975-08,
1148,1975-09,
1149,1975-10,
1150,1975-11,
1151,1975-12,
1152,1976-01,
1153,1976-02,
1154,1976-03,
1155,1976-04,
1156,1976-05,
1157,1976-06,
1158,1976-07,
1159,1976-08,
1160,1976-09,
1161,1976-10,
1162,1976-11,
1163,1976-12,
1164,1977-01,
1165,1977-02,
1166,1977-03,
1167,1977-04,
1168,1977-05,
1169,1977-06,
1170,1977-07,
1171,1977-08,
1172,1977-09,
1173,1977-10,
1174,1977-11,
1175,1977-12,
1176,1978-01,
1177,1978-02,
1178,1978-03,
1179,1978-04,
1180,1978-05,
1181,1978-06,
1182,1978-07,
1183,1978-08,
1184,1978-09,
1185,1978-10,
1186,1978-11,
1187,1978-12,
1188,1979-01,
1189,1979-02,
1190,1979-03,
1191,1979-04,
1192,1979-05,
1193,1979-06,
1194,1979-07,
1195,1979-08,
1196,1979-09,
1197,1979-10,
1198,1979-11,
1199,1979-12,
1200,1980-01,
1201,1980-02,
1202,1980-03,
1203,1980-04,
1204,1980-05,
1205,1980-06,
1206,1980-07,
1207,1980-08,
1208,1980-09,
